Matrix,Matrix_Density,Matrix_Strenth,%Matrix,Density_R1,Strenth_R1,R1,R1%,R1_Size,Density_R2,Strenth_R2,R2,R2%,R2_Size,Stir_Speed,Stir_Time,Mix_Temp,Mould_Preheat,UTS,Porosity,Therotical Density,Exp Density
AA7075,2.775,240,93,2.45,,Bagasse ash,6,50.05,2.065,18,Graphite,1,40,250,15,750,,294.2,,,
AA7075,2.775,240,91,2.45,,Bagasse ash,6,50.05,2.065,18,Graphite,3,40,250,15,750,,296.3,,,
AA7075,2.775,240,89,2.45,,Bagasse ash,6,50.05,2.065,18,Graphite,5,40,250,15,750,,299.4,,,
AA7075,2.775,240,100,2.17,,Fly Ash,0,75,1.625,18,Graphite,0,90,,15,837.5,,133.9,10.35714286,2.8,2.51
AA7075,2.775,240,96,2.17,,Fly Ash,3,75,1.625,18,Graphite,1,90,,15,837.5,,233.09,10.25179856,2.78,2.495
AA7075,2.775,240,93,2.17,,Fly Ash,6,75,1.625,18,Graphite,1,90,,15,837.5,,259.18,10.10830325,2.77,2.49
AA7075,2.775,240,90,2.17,,Fly Ash,9,75,1.625,18,Graphite,1,90,,15,837.5,,253.64,10.18115942,2.76,2.479
AA7075,2.775,240,100,3.177,137.86,SiC,0,36,2.267,5000,graphene,0,,200,10,800,300,225.59,,,
AA7075,2.775,240,89,3.177,137.86,SiC,10,36,2.267,5000,graphene,1,,200,10,800,300,258.32,,,
AA7075,2.775,240,84,3.177,137.86,SiC,15,36,2.267,5000,graphene,1,,200,10,800,300,266.62,,,
AA7075,2.775,240,83,3.177,137.86,SiC,16,36,2.267,5000,graphene,1,,200,10,800,300,256.31,,,
AA7075,2.775,240,100,3.177,137.86,SiC,0,60,2.065,18,Graphite,0,88,,10,,,,8.754448399,2.81,2.564
AA7075,2.775,240,93,3.177,137.86,SiC,5,60,2.065,18,Graphite,2,88,,10,,,,4.122245913,2.814,2.698
AA7075,2.775,240,91,3.177,137.86,SiC,5,60,2.065,18,Graphite,4,88,,10,,,,7.292778371,2.811,2.606
AA7075,2.775,240,96,3.177,137.86,SiC,3,,5.06,,MoS2,1,,,,,,184,,,
AA7075,2.775,240,93,3.177,137.86,SiC,6,,5.06,,MoS2,1,,,,,,196,,,
AA7075,2.775,240,90,3.177,137.86,SiC,9,,5.06,,MoS2,1,,,,,,256,,,
AA7075,2.775,240,100,3.177,137.86,SiC,0,0.05,2.579,350,B4C,0,0.05,600,15,700,530,262,0.706713781,2.83,2.81
AA7075,2.775,240,96,3.177,137.86,SiC,1,0.05,2.579,350,B4C,3,0.05,600,15,700,530,274,0.352112676,2.84,2.83
AA7075,2.775,240,95,3.177,137.86,SiC,2,0.05,2.579,350,B4C,3,0.05,600,15,700,530,285,0.34965035,2.86,2.85
AA7075,2.775,240,94,3.177,137.86,SiC,3,0.05,2.579,350,B4C,3,0.05,600,15,700,530,294,0.694444444,2.88,2.86
AA7075,2.775,240,93,3.177,137.86,SiC,4,0.05,2.579,350,B4C,3,0.05,600,15,700,530,300,0.692041522,2.89,2.87
AA7075,2.775,240,90,3.177,137.86,SiC,7,,2.579,350,B4C,3,,500,7,,,47.65,,,
AA7075,2.775,240,90,3.177,137.86,SiC,9,,2.579,350,B4C,1,,500,7,,,53.12,,,
AA7075,2.775,240,90,3.177,137.86,SiC,5,,2.579,350,B4C,5,,500,7,,,55.76,,,
AA7075,2.775,240,90,3.177,137.86,SiC,1,,2.579,350,B4C,9,,500,7,,,58.96,,,
AA7075,2.775,240,90,3.177,137.86,SiC,3,,2.579,350,B4C,7,,500,7,,,48.35,,,
AA8011,2.7,140,100,4.2,,ZrB2,0,0.04,2.8,60,Si3N4,0,0.05,300,5,650,,167.9,,,
AA8011,2.7,140,95,4.2,,ZrB2,2.5,0.04,2.8,60,Si3N4,2.5,0.05,300,5,650,,175,,,
AA8011,2.7,140,90,4.2,,ZrB2,5,0.04,2.8,60,Si3N4,5,0.05,300,5,650,,176.5,,,
AA8011,2.7,140,85,4.2,,ZrB2,7.5,0.04,2.8,60,Si3N4,7.5,0.05,300,5,650,,196.6,,,
AA8011,2.7,140,80,4.2,,ZrB2,10,0.04,2.8,60,Si3N4,10,0.05,300,5,650,,199.3,,,
Al-Mg-Si-T6,2.7,310,93,3.177,137.86,SiC,5,6,,,muscovite,2,28,300,10,850,500,96.08,1.843,2.126,2.087
Al-Mg-Si-T6,2.7,310,92,3.177,137.86,SiC,5,6,,,muscovite,3,28,300,10,850,500,117.857,2.6,2.202,2.145
Al-Mg-Si-T6,2.7,310,91,3.177,137.86,SiC,5,6,,,muscovite,4,28,300,10,850,500,86.44,6.022,2.352,2.21
